                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     12,                0.50172,                 1.0512,                0.75835,                0.98482,              0.0007426
                     13,                0.51354,                 1.0978,                0.73619,                0.98148,              0.0007228
                     14,                 0.5053,                 1.0595,                0.74712,                0.97875,               0.000703
                     15,                0.49107,                 1.0784,                0.73679,                0.97753,              0.0006832
                     16,                0.48324,                 1.0697,                0.74924,                0.98118,              0.0006634
                     17,                0.50087,                 1.0366,                0.75046,                0.98482,              0.0006436
                     18,                0.49708,                 1.0176,                0.76715,                0.98361,              0.0006238
                     19,                0.47453,                 1.0447,                0.75106,                0.98634,               0.000604
                     20,                0.47494,                 1.0563,                0.74985,                0.98027,              0.0005842
                     21,                0.48022,                  1.083,                0.74712,                0.97814,              0.0005644
                     22,                0.48133,                  1.067,                0.74135,                0.98361,              0.0005446
                     23,                0.47109,                 1.0451,                0.75683,                 0.9833,              0.0005248
                     24,                 0.4757,                 1.0516,                0.75501,                0.98361,               0.000505
                     25,                0.46643,                 1.0368,                0.76412,                0.97753,              0.0004852
                     26,                0.47052,                  1.023,                0.76958,                0.97966,              0.0004654
                     27,                0.46175,                 1.0397,                0.76321,                0.98178,              0.0004456
                     28,                 0.4722,                 1.0345,                0.76655,                0.98209,              0.0004258
                     29,                0.47194,                 1.0444,                0.76047,                0.98239,               0.000406
                     30,                0.46136,                 1.0459,                0.76078,                0.97996,              0.0003862
                     31,                0.45952,                 1.0511,                0.76138,                0.97753,              0.0003664
                     32,                0.45367,                 1.0461,                0.76776,                0.97784,              0.0003466
                     33,                0.45542,                 1.0386,                0.77049,                0.98239,              0.0003268
                     34,                0.46448,                 1.0495,                0.76138,                0.97936,               0.000307
                     35,                0.45648,                 1.0557,                0.76685,                0.98027,              0.0002872
                     36,                  0.454,                 1.0595,                0.76138,                0.97875,              0.0002674
                     37,                 0.4496,                 1.0594,                 0.7623,                0.97905,              0.0002476
                     38,                0.45029,                 1.0633,                0.76169,                0.97966,              0.0002278
                     39,                0.45033,                 1.0627,                 0.7629,                0.97936,               0.000208
                     40,                0.44812,                 1.0675,                0.76533,                0.97602,              0.0001882
                     41,                 0.4475,                 1.0697,                0.76624,                0.97753,              0.0001684
                     42,                0.44725,                 1.0685,                0.76472,                0.97845,              0.0001486
                     43,                0.44931,                 1.0692,                0.76351,                0.98057,              0.0001288
                     44,                 0.4491,                 1.0695,                0.76533,                0.97996,               0.000109
                     45,                0.44719,                  1.066,                 0.7626,                0.98027,               8.92e-05
                     46,                0.44705,                  1.067,                0.76169,                0.97936,               6.94e-05
                     47,                0.44701,                 1.0688,                0.76047,                0.97905,               4.96e-05
                     48,                0.44674,                 1.0683,                0.75956,                0.97936,               2.98e-05
                     49,                0.44664,                 1.0706,                0.76017,                0.97966,                  1e-05
